Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,3507,3445,38,1.08,24,0.68,1.0
20-40s,3342,3301,26,0.78,15,0.45,1.0
40-60s,3416,3359,30,0.88,27,0.79,1.0
60-80s,4519,3089,750,16.6,680,15.05,20.0
80-100s,3735,3318,56,1.5,361,9.67,1.0
100-120s,3379,3333,29,0.86,17,0.5,1.0
120-140s,3419,3358,29,0.85,32,0.94,1.0
140-160s,11754,2370,3412,29.03,5972,50.81,60.0
160-180s,5396,3413,190,3.52,1793,33.23,1.0
180-200s,3524,3452,31,0.88,41,1.16,1.0
200-220s,3623,3550,37,1.02,36,0.99,1.0
220-240s,15400,184,3120,20.26,12096,78.55,100.0
240-260s,7351,3008,64,0.87,4279,58.21,1.0
260-280s,3502,3410,30,0.86,62,1.77,1.0
280-300s,3323,3230,36,1.08,57,1.72,1.0
