Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,8983,8859,107,1.19,17,0.19,1.0
20-40s,9206,9078,97,1.05,31,0.34,1.0
40-60s,9099,8959,93,1.02,47,0.52,1.0
60-80s,12372,8404,2092,16.91,1876,15.16,20.0
80-100s,9938,9076,117,1.18,745,7.5,1.0
100-120s,9322,9135,100,1.07,87,0.93,1.0
120-140s,9252,9065,90,0.97,97,1.05,1.0
140-160s,15803,3755,5234,33.12,6814,43.12,60.0
160-180s,11197,8381,165,1.47,2651,23.68,1.0
180-200s,9204,9068,73,0.79,63,0.68,1.0
200-220s,9205,9043,86,0.93,76,0.83,1.0
220-240s,15555,268,4526,29.1,10761,69.18,100.0
240-260s,10978,7949,124,1.13,2905,26.46,1.0
260-280s,9350,9098,89,0.95,163,1.74,1.0
280-300s,9488,9140,124,1.31,224,2.36,1.0
