Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,9506,9401,93,0.98,12,0.13,1.0
20-40s,9700,9553,105,1.08,42,0.43,1.0
40-60s,9857,9675,106,1.08,76,0.77,1.0
60-80s,12951,8954,2172,16.77,1825,14.09,20.0
80-100s,10520,9607,159,1.51,754,7.17,1.0
100-120s,9855,9658,109,1.11,88,0.89,1.0
120-140s,9813,9636,88,0.9,89,0.91,1.0
140-160s,16441,3885,5425,33.0,7131,43.37,60.0
160-180s,12128,8953,193,1.59,2982,24.59,1.0
180-200s,9842,9635,116,1.18,91,0.92,1.0
200-220s,9825,9645,94,0.96,86,0.88,1.0
220-240s,16475,308,4754,28.86,11413,69.27,100.0
240-260s,11572,8441,102,0.88,3029,26.18,1.0
260-280s,9990,9660,103,1.03,227,2.27,1.0
280-300s,9920,9614,105,1.06,201,2.03,1.0
