Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,11202,11065,118,1.05,19,0.17,1.0
20-40s,11327,11176,115,1.02,36,0.32,1.0
40-60s,11346,11163,107,0.94,76,0.67,1.0
60-80s,15378,10326,2679,17.42,2373,15.43,20.0
80-100s,12167,11134,129,1.06,904,7.43,1.0
100-120s,11317,11130,109,0.96,78,0.69,1.0
120-140s,11334,11132,107,0.94,95,0.84,1.0
140-160s,16338,3739,5601,34.28,6998,42.83,60.0
160-180s,13074,10256,106,0.81,2712,20.74,1.0
180-200s,11303,11112,116,1.03,75,0.66,1.0
200-220s,11372,11174,113,0.99,85,0.75,1.0
220-240s,15456,116,4712,30.49,10628,68.76,100.0
240-260s,11930,9260,101,0.85,2569,21.53,1.0
260-280s,11247,10930,104,0.92,213,1.89,1.0
280-300s,11252,10903,113,1.0,236,2.1,1.0
