Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,9998,9860,119,1.19,19,0.19,1.0
20-40s,10595,10459,103,0.97,33,0.31,1.0
40-60s,10631,10454,109,1.03,68,0.64,1.0
60-80s,13960,9707,2286,16.38,1967,14.09,20.0
80-100s,11561,10425,221,1.91,915,7.91,1.0
100-120s,10610,10469,82,0.77,59,0.56,1.0
120-140s,10602,10402,111,1.05,89,0.84,1.0
140-160s,16433,4301,5419,32.98,6713,40.85,60.0
160-180s,12835,9366,298,2.32,3171,24.71,1.0
180-200s,10713,10500,109,1.02,104,0.97,1.0
200-220s,10679,10475,112,1.05,92,0.86,1.0
220-240s,16289,531,4792,29.42,10966,67.32,100.0
240-260s,12441,8897,144,1.16,3400,27.33,1.0
260-280s,10813,10476,104,0.96,233,2.15,1.0
280-300s,10746,10461,94,0.87,191,1.78,1.0
