Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,6814,6735,71,1.04,8,0.12,1.0
20-40s,7196,7090,75,1.04,31,0.43,1.0
40-60s,7200,7070,72,1.0,58,0.81,1.0
60-80s,9560,6560,1589,16.62,1411,14.76,20.0
80-100s,7873,7118,128,1.63,627,7.96,1.0
100-120s,7301,7165,80,1.1,56,0.77,1.0
120-140s,7238,7093,66,0.91,79,1.09,1.0
140-160s,15313,3693,4935,32.23,6685,43.66,60.0
160-180s,9564,6777,207,2.16,2580,26.98,1.0
180-200s,7217,7066,65,0.9,86,1.19,1.0
200-220s,7227,7112,63,0.87,52,0.72,1.0
220-240s,15409,342,4146,26.91,10921,70.87,100.0
240-260s,10023,6105,122,1.22,3796,37.87,1.0
260-280s,7333,7110,72,0.98,151,2.06,1.0
280-300s,7238,7030,74,1.02,134,1.85,1.0
