Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,9093,8990,95,1.04,8,0.09,1.0
20-40s,9497,9344,109,1.15,44,0.46,1.0
40-60s,9479,9317,99,1.04,63,0.66,1.0
60-80s,12467,8716,2056,16.49,1695,13.6,20.0
80-100s,10246,9298,186,1.82,762,7.44,1.0
100-120s,9412,9279,78,0.83,55,0.58,1.0
120-140s,9550,9380,92,0.96,78,0.82,1.0
140-160s,15696,3809,5099,32.49,6788,43.25,60.0
160-180s,11624,8563,219,1.88,2842,24.45,1.0
180-200s,9562,9377,101,1.06,84,0.88,1.0
200-220s,9520,9339,91,0.96,90,0.95,1.0
220-240s,15458,421,4525,29.27,10512,68.0,100.0
240-260s,11296,8084,147,1.3,3065,27.13,1.0
260-280s,9709,9408,97,1.0,204,2.1,1.0
280-300s,9607,9347,100,1.04,160,1.67,1.0
