Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9919,9716,109,1.1,94,0.95,1.0
30-60s,6987,6550,195,2.79,242,3.46,1.0
60-90s,6533,5941,199,3.05,393,6.02,1.0
90-120s,6497,5830,193,2.97,474,7.3,1.0
120-150s,6228,5620,190,3.05,418,6.71,1.0
150-180s,6719,6001,210,3.13,508,7.56,1.0
180-210s,6557,5910,204,3.11,443,6.76,1.0
210-240s,6879,6117,224,3.26,538,7.82,1.0
240-270s,6799,6092,223,3.28,484,7.12,1.0
270-300s,6748,6016,215,3.19,517,7.66,1.0
300-330s,6519,5798,221,3.39,500,7.67,1.0
330-360s,9008,8619,112,1.24,277,3.08,1.0
360-390s,9225,8983,96,1.04,146,1.58,1.0
390-420s,8891,8618,112,1.26,161,1.81,1.0
