Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,14329,13996,169,1.18,164,1.14,1.0
30-60s,8949,8242,284,3.17,423,4.73,1.0
60-90s,9135,8188,303,3.32,644,7.05,1.0
90-120s,9256,8312,274,2.96,670,7.24,1.0
120-150s,9284,8263,296,3.19,725,7.81,1.0
150-180s,9807,8767,263,2.68,777,7.92,1.0
180-210s,9767,8710,268,2.74,789,8.08,1.0
210-240s,9785,8613,295,3.01,877,8.96,1.0
240-270s,9828,8797,260,2.65,771,7.84,1.0
270-300s,9952,8836,276,2.77,840,8.44,1.0
300-330s,9932,8858,249,2.51,825,8.31,1.0
330-360s,13725,13193,126,0.92,406,2.96,1.0
360-390s,14288,13946,142,0.99,200,1.4,1.0
390-420s,14184,13861,135,0.95,188,1.33,1.0
