Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9931,9688,120,1.21,123,1.24,1.0
30-60s,8124,7633,196,2.41,295,3.63,1.0
60-90s,7390,6930,180,2.44,280,3.79,1.0
90-120s,6982,6308,252,3.61,422,6.04,1.0
120-150s,7447,6633,261,3.5,553,7.43,1.0
150-180s,7385,6636,235,3.18,514,6.96,1.0
180-210s,6967,6308,218,3.13,441,6.33,1.0
210-240s,7477,6751,200,2.67,526,7.03,1.0
240-270s,7404,6677,222,3.0,505,6.82,1.0
270-300s,7032,6307,235,3.34,490,6.97,1.0
300-330s,7728,6909,212,2.74,607,7.85,1.0
330-360s,9673,9271,125,1.29,277,2.86,1.0
360-390s,11203,10856,132,1.18,215,1.92,1.0
390-420s,10163,9864,116,1.14,183,1.8,1.0
