Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8179,8056,76,0.93,47,0.57,1.0
30-60s,6193,5908,126,2.03,159,2.57,1.0
60-90s,5248,4856,163,3.11,229,4.36,1.0
90-120s,5359,4850,170,3.17,339,6.33,1.0
120-150s,5569,5011,193,3.47,365,6.55,1.0
150-180s,5509,4922,183,3.32,404,7.33,1.0
180-210s,5510,4931,184,3.34,395,7.17,1.0
210-240s,5581,4931,198,3.55,452,8.1,1.0
240-270s,5755,5086,201,3.49,468,8.13,1.0
270-300s,5756,5104,194,3.37,458,7.96,1.0
300-330s,5869,5298,182,3.1,389,6.63,1.0
330-360s,7737,7443,75,0.97,219,2.83,1.0
360-390s,8033,7816,83,1.03,134,1.67,1.0
390-420s,8139,7912,90,1.11,137,1.68,1.0
