Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,10828,10583,128,1.18,117,1.08,1.0
30-60s,7785,7393,162,2.08,230,2.95,1.0
60-90s,8642,8009,213,2.46,420,4.86,1.0
90-120s,7113,6527,214,3.01,372,5.23,1.0
120-150s,7395,6587,284,3.84,524,7.09,1.0
150-180s,7730,6900,240,3.1,590,7.63,1.0
180-210s,7499,6683,220,2.93,596,7.95,1.0
210-240s,7567,6693,215,2.84,659,8.71,1.0
240-270s,7907,7066,216,2.73,625,7.9,1.0
270-300s,7266,6450,243,3.34,573,7.89,1.0
300-330s,7964,7071,230,2.89,663,8.32,1.0
330-360s,10651,10169,133,1.25,349,3.28,1.0
360-390s,11385,11087,134,1.18,164,1.44,1.0
390-420s,11127,10789,128,1.15,210,1.89,1.0
