Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,10025,9838,105,1.05,82,0.82,1.0
30-60s,7508,7006,204,2.72,298,3.97,1.0
60-90s,6900,6312,204,2.96,384,5.57,1.0
90-120s,6890,6254,229,3.32,407,5.91,1.0
120-150s,6966,6229,210,3.01,527,7.57,1.0
150-180s,7153,6426,206,2.88,521,7.28,1.0
180-210s,6954,6233,224,3.22,497,7.15,1.0
210-240s,7318,6522,232,3.17,564,7.71,1.0
240-270s,7227,6422,229,3.17,576,7.97,1.0
270-300s,6956,6171,225,3.23,560,8.05,1.0
300-330s,7283,6482,223,3.06,578,7.94,1.0
330-360s,9567,9121,131,1.37,315,3.29,1.0
360-390s,11108,10819,108,0.97,181,1.63,1.0
390-420s,10339,10091,96,0.93,152,1.47,1.0
