Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,13340,13119,114,0.85,107,0.8,1.0
30-60s,8859,8206,254,2.87,399,4.5,1.0
60-90s,8471,7708,280,3.31,483,5.7,1.0
90-120s,8718,7873,258,2.96,587,6.73,1.0
120-150s,9207,8197,269,2.92,741,8.05,1.0
150-180s,9033,8027,293,3.24,713,7.89,1.0
180-210s,9207,8212,278,3.02,717,7.79,1.0
210-240s,9134,8213,225,2.46,696,7.62,1.0
240-270s,9430,8386,282,2.99,762,8.08,1.0
270-300s,9183,8155,250,2.72,778,8.47,1.0
300-330s,9188,8159,268,2.92,761,8.28,1.0
330-360s,13165,12629,154,1.17,382,2.9,1.0
360-390s,13262,12953,125,0.94,184,1.39,1.0
390-420s,13453,13119,147,1.09,187,1.39,1.0
