Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9899,9642,133,1.34,124,1.25,1.0
30-60s,8390,7691,281,3.35,418,4.98,1.0
60-90s,9273,8281,311,3.35,681,7.34,1.0
90-120s,9358,8331,287,3.07,740,7.91,1.0
120-150s,9678,8693,259,2.68,726,7.5,1.0
150-180s,9804,8721,274,2.79,809,8.25,1.0
180-210s,10261,9116,268,2.61,877,8.55,1.0
210-240s,10125,8959,289,2.85,877,8.66,1.0
240-270s,10276,9119,282,2.74,875,8.51,1.0
270-300s,10235,9065,265,2.59,905,8.84,1.0
300-330s,10343,9110,279,2.7,954,9.22,1.0
330-360s,10766,10215,133,1.24,418,3.88,1.0
360-390s,10453,10117,131,1.25,205,1.96,1.0
390-420s,10214,9853,147,1.44,214,2.1,1.0
