Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,15283,15121,144,0.94,18,0.12,1.0
30-60s,15390,15166,150,0.97,74,0.48,1.0
60-90s,15424,15162,150,0.97,112,0.73,1.0
90-120s,15453,15121,160,1.04,172,1.11,1.0
120-150s,21055,14143,3393,16.11,3519,16.71,20.0
150-180s,22292,14154,3569,16.01,4569,20.5,20.0
180-210s,21810,14093,3464,15.88,4253,19.5,20.0
210-240s,21951,14123,3514,16.01,4314,19.65,20.0
240-270s,19342,12442,3040,15.72,3860,19.96,20.0
270-300s,18427,11700,2991,16.23,3736,20.27,20.0
300-330s,18641,11941,2986,16.02,3714,19.92,20.0
330-360s,18475,12072,2861,15.49,3542,19.17,20.0
360-390s,18237,11857,2864,15.7,3516,19.28,20.0
390-420s,18393,11943,2903,15.78,3547,19.28,20.0
420-450s,15709,14827,159,1.01,723,4.6,1.0
450-480s,15041,14778,146,0.97,117,0.78,1.0
480-510s,15022,14761,156,1.04,105,0.7,1.0
510-540s,15018,14737,149,0.99,132,0.88,1.0
