Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,16138,15969,147,0.91,22,0.14,1.0
30-60s,16477,16229,169,1.03,79,0.48,1.0
60-90s,16509,16198,186,1.13,125,0.76,1.0
90-120s,16538,16228,147,0.89,163,0.99,1.0
120-150s,22543,15074,3740,16.59,3729,16.54,20.0
150-180s,23719,15077,3760,15.85,4882,20.58,20.0
180-210s,23519,15113,3780,16.07,4626,19.67,20.0
210-240s,23393,14941,3798,16.24,4654,19.89,20.0
240-270s,23152,14734,3681,15.9,4737,20.46,20.0
270-300s,23093,14789,3701,16.03,4603,19.93,20.0
300-330s,22955,14678,3671,15.99,4606,20.07,20.0
330-360s,21856,13995,3525,16.13,4336,19.84,20.0
360-390s,21040,13728,3365,15.99,3947,18.76,20.0
390-420s,21373,13739,3397,15.89,4237,19.82,20.0
420-450s,17171,16145,194,1.13,832,4.85,1.0
450-480s,16442,16145,169,1.03,128,0.78,1.0
480-510s,16458,16137,183,1.11,138,0.84,1.0
510-540s,16345,16033,177,1.08,135,0.83,1.0
