Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,11546,11413,109,0.94,24,0.21,1.0
30-60s,12116,11923,123,1.02,70,0.58,1.0
60-90s,12048,11795,127,1.05,126,1.05,1.0
90-120s,12043,11784,128,1.06,131,1.09,1.0
120-150s,16458,10957,2696,16.38,2805,17.04,20.0
150-180s,17272,10900,2802,16.22,3570,20.67,20.0
180-210s,17444,10995,2868,16.44,3581,20.53,20.0
210-240s,17510,10976,2827,16.15,3707,21.17,20.0
240-270s,17135,10989,2734,15.96,3412,19.91,20.0
270-300s,17174,10996,2723,15.86,3455,20.12,20.0
300-330s,17170,11011,2721,15.85,3438,20.02,20.0
330-360s,17048,10915,2706,15.87,3427,20.1,20.0
360-390s,17159,10952,2751,16.03,3456,20.14,20.0
390-420s,17021,11015,2698,15.85,3308,19.43,20.0
420-450s,12591,11706,200,1.59,685,5.44,1.0
450-480s,11902,11711,106,0.89,85,0.71,1.0
480-510s,11986,11775,119,0.99,92,0.77,1.0
510-540s,11898,11687,104,0.87,107,0.9,1.0
