Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,16358,16139,176,1.08,43,0.26,1.0
30-60s,16043,15798,174,1.08,71,0.44,1.0
60-90s,16314,16031,155,0.95,128,0.78,1.0
90-120s,16565,16234,167,1.01,164,0.99,1.0
120-150s,22457,15135,3660,16.3,3662,16.31,20.0
150-180s,23739,15163,3757,15.83,4819,20.3,20.0
180-210s,23349,15149,3624,15.52,4576,19.6,20.0
210-240s,23492,15087,3768,16.04,4637,19.74,20.0
240-270s,23093,14648,3756,16.26,4689,20.3,20.0
270-300s,22749,14573,3635,15.98,4541,19.96,20.0
300-330s,22644,14304,3647,16.11,4693,20.73,20.0
330-360s,23356,15171,3666,15.7,4519,19.35,20.0
360-390s,22537,14641,3530,15.66,4366,19.37,20.0
390-420s,22275,14384,3489,15.66,4402,19.76,20.0
420-450s,17282,16221,177,1.02,884,5.12,1.0
450-480s,16424,16148,163,0.99,113,0.69,1.0
480-510s,16458,16141,162,0.98,155,0.94,1.0
510-540s,16433,16163,145,0.88,125,0.76,1.0
