Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,17201,17006,167,0.97,28,0.16,1.0
30-60s,17446,17235,149,0.85,62,0.36,1.0
60-90s,17612,17290,180,1.02,142,0.81,1.0
90-120s,17626,17284,182,1.03,160,0.91,1.0
120-150s,23102,15509,3775,16.34,3818,16.53,20.0
150-180s,22410,14268,3633,16.21,4509,20.12,20.0
180-210s,21898,13864,3557,16.24,4477,20.44,20.0
210-240s,21980,14116,3479,15.83,4385,19.95,20.0
240-270s,21832,14128,3439,15.75,4265,19.54,20.0
270-300s,21485,13629,3500,16.29,4356,20.27,20.0
300-330s,21372,13738,3405,15.93,4229,19.79,20.0
330-360s,21400,13763,3361,15.71,4276,19.98,20.0
360-390s,21159,13513,3400,16.07,4246,20.07,20.0
390-420s,21064,13458,3356,15.93,4250,20.18,20.0
420-450s,18361,17163,222,1.21,976,5.32,1.0
450-480s,17437,17122,179,1.03,136,0.78,1.0
480-510s,17440,17115,181,1.04,144,0.83,1.0
510-540s,17498,17158,177,1.01,163,0.93,1.0
