Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,4314,4273,29,0.67,12,0.28,1.0
30-60s,4094,4027,44,1.07,23,0.56,1.0
60-90s,4461,4369,40,0.9,52,1.17,1.0
90-120s,4489,4396,42,0.94,51,1.14,1.0
120-150s,6227,4066,1022,16.41,1139,18.29,20.0
150-180s,6622,4106,1086,16.4,1430,21.59,20.0
180-210s,6024,3911,962,15.97,1151,19.11,20.0
210-240s,6348,3987,1047,16.49,1314,20.7,20.0
240-270s,6188,3916,999,16.14,1273,20.57,20.0
270-300s,5965,3792,974,16.33,1199,20.1,20.0
300-330s,5988,3835,944,15.76,1209,20.19,20.0
330-360s,5950,3836,938,15.76,1176,19.76,20.0
360-390s,6034,3893,975,16.16,1166,19.32,20.0
390-420s,6046,3816,985,16.29,1245,20.59,20.0
420-450s,4589,4279,54,1.18,256,5.58,1.0
450-480s,4353,4287,36,0.83,30,0.69,1.0
480-510s,4273,4171,45,1.05,57,1.33,1.0
510-540s,4464,4374,45,1.01,45,1.01,1.0
