Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9144,9026,93,1.02,25,0.27,1.0
30-60s,8918,8797,68,0.76,53,0.59,1.0
60-90s,9189,9026,83,0.9,80,0.87,1.0
90-120s,9142,8954,95,1.04,93,1.02,1.0
120-150s,12142,8061,1987,16.36,2094,17.25,20.0
150-180s,12930,8195,2058,15.92,2677,20.7,20.0
180-210s,12695,8203,1984,15.63,2508,19.76,20.0
210-240s,12736,8259,1985,15.59,2492,19.57,20.0
240-270s,12825,8209,2056,16.03,2560,19.96,20.0
270-300s,12635,8091,2030,16.07,2514,19.9,20.0
300-330s,12846,8246,2065,16.08,2535,19.73,20.0
330-360s,13077,8374,2093,16.01,2610,19.96,20.0
360-390s,12412,8026,1958,15.78,2428,19.56,20.0
390-420s,13313,8397,2156,16.19,2760,20.73,20.0
420-450s,9457,8932,90,0.95,435,4.6,1.0
450-480s,8973,8798,93,1.04,82,0.91,1.0
480-510s,9070,8892,95,1.05,83,0.92,1.0
510-540s,8993,8849,75,0.83,69,0.77,1.0
