Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9375,9258,100,1.07,17,0.18,1.0
30-60s,9720,9576,86,0.88,58,0.6,1.0
60-90s,9475,9296,92,0.97,87,0.92,1.0
90-120s,9703,9506,99,1.02,98,1.01,1.0
120-150s,13054,8789,2125,16.28,2140,16.39,20.0
150-180s,13877,8735,2286,16.47,2856,20.58,20.0
180-210s,13968,8914,2192,15.69,2862,20.49,20.0
210-240s,13863,8821,2194,15.83,2848,20.54,20.0
240-270s,13511,8849,2094,15.5,2568,19.01,20.0
270-300s,13619,8938,2116,15.54,2565,18.83,20.0
300-330s,13886,8852,2218,15.97,2816,20.28,20.0
330-360s,13480,8718,2120,15.73,2642,19.6,20.0
360-390s,13848,8812,2228,16.09,2808,20.28,20.0
390-420s,13719,8829,2173,15.84,2717,19.8,20.0
420-450s,10049,9352,155,1.54,542,5.39,1.0
450-480s,9644,9493,78,0.81,73,0.76,1.0
480-510s,9479,9295,101,1.07,83,0.88,1.0
510-540s,9624,9453,85,0.88,86,0.89,1.0
