Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,13396,13248,120,0.9,28,0.21,1.0
30-60s,13850,13621,150,1.08,79,0.57,1.0
60-90s,13782,13514,138,1.0,130,0.94,1.0
90-120s,13725,13481,131,0.95,113,0.82,1.0
120-150s,18307,12473,2940,16.06,2894,15.81,20.0
150-180s,19722,12521,3118,15.81,4083,20.7,20.0
180-210s,19658,12702,3119,15.87,3837,19.52,20.0
210-240s,19684,12654,3176,16.13,3854,19.58,20.0
240-270s,19623,12678,3053,15.56,3892,19.83,20.0
270-300s,19755,12581,3185,16.12,3989,20.19,20.0
300-330s,19866,12693,3161,15.91,4012,20.2,20.0
330-360s,19529,12511,3085,15.8,3933,20.14,20.0
360-390s,19627,12578,3164,16.12,3885,19.79,20.0
390-420s,19446,12515,3089,15.89,3842,19.76,20.0
420-450s,14523,13451,234,1.61,838,5.77,1.0
450-480s,13784,13529,150,1.09,105,0.76,1.0
480-510s,13816,13508,155,1.12,153,1.11,1.0
510-540s,13719,13457,136,0.99,126,0.92,1.0
