Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,25770,25386,273,1.06,111,0.43,1.0
60-120s,26470,25711,385,1.45,374,1.41,1.5
120-180s,26956,25890,549,2.04,517,1.92,2.0
180-240s,27067,25797,630,2.33,640,2.36,2.5
240-300s,27208,25664,782,2.87,762,2.8,3.0
300-360s,27427,25537,983,3.58,907,3.31,3.5
360-420s,27662,25655,1071,3.87,936,3.38,4.0
420-480s,27697,25441,1200,4.33,1056,3.81,4.5
480-540s,28072,25658,1316,4.69,1098,3.91,5.0
540-600s,26398,25810,298,1.13,290,1.1,1.0
