Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,34727,34267,362,1.04,98,0.28,1.0
60-120s,35548,34538,555,1.56,455,1.28,1.5
120-180s,35862,34549,686,1.91,627,1.75,2.0
180-240s,36336,34490,951,2.62,895,2.46,2.5
240-300s,36461,34425,1058,2.9,978,2.68,3.0
300-360s,36615,34342,1227,3.35,1046,2.86,3.5
360-420s,36915,34263,1438,3.9,1214,3.29,4.0
420-480s,36828,33990,1607,4.36,1231,3.34,4.5
480-540s,37125,33920,1802,4.85,1403,3.78,5.0
540-600s,35006,34358,368,1.05,280,0.8,1.0
