Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,32205,31773,337,1.05,95,0.29,1.0
60-120s,32744,31869,490,1.5,385,1.18,1.5
120-180s,33094,31861,664,2.01,569,1.72,2.0
180-240s,33532,31939,822,2.45,771,2.3,2.5
240-300s,33475,31769,915,2.73,791,2.36,3.0
300-360s,34041,31832,1180,3.47,1029,3.02,3.5
360-420s,33966,31602,1321,3.89,1043,3.07,4.0
420-480s,34154,31581,1406,4.12,1167,3.42,4.5
480-540s,34537,31538,1696,4.91,1303,3.77,5.0
540-600s,32469,31910,322,0.99,237,0.73,1.0
