Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,33653,33204,337,1.0,112,0.33,1.0
60-120s,34225,33289,520,1.52,416,1.22,1.5
120-180s,34518,33291,645,1.87,582,1.69,2.0
180-240s,34795,33149,870,2.5,776,2.23,2.5
240-300s,34378,32440,1000,2.91,938,2.73,3.0
300-360s,34524,32362,1157,3.35,1005,2.91,3.5
360-420s,34492,32199,1284,3.72,1009,2.93,4.0
420-480s,34743,31983,1531,4.41,1229,3.54,4.5
480-540s,34924,31823,1724,4.94,1377,3.94,5.0
540-600s,33070,32468,336,1.02,266,0.8,1.0
