Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,21147,20842,199,0.94,106,0.5,1.0
60-120s,21815,21218,322,1.48,275,1.26,1.5
120-180s,21858,21099,406,1.86,353,1.61,2.0
180-240s,22241,21264,492,2.21,485,2.18,2.5
240-300s,22184,20988,618,2.79,578,2.61,3.0
300-360s,22422,20971,740,3.3,711,3.17,3.5
360-420s,22812,21230,817,3.58,765,3.35,4.0
420-480s,22569,20743,966,4.28,860,3.81,4.5
480-540s,22940,20890,1091,4.76,959,4.18,5.0
540-600s,21772,21307,237,1.09,228,1.05,1.0
