Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,34100,33694,329,0.96,77,0.23,1.0
60-120s,34833,33877,534,1.53,422,1.21,1.5
120-180s,35531,34170,718,2.02,643,1.81,2.0
180-240s,35711,34115,866,2.43,730,2.04,2.5
240-300s,36130,34115,1073,2.97,942,2.61,3.0
300-360s,36435,34032,1293,3.55,1110,3.05,3.5
360-420s,36565,33963,1420,3.88,1182,3.23,4.0
420-480s,36692,33752,1655,4.51,1285,3.5,4.5
480-540s,36663,33553,1746,4.76,1364,3.72,5.0
540-600s,34649,34084,328,0.95,237,0.68,1.0
