Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,20411,20117,215,1.05,79,0.39,1.0
60-120s,20668,20083,302,1.46,283,1.37,1.5
120-180s,21086,20278,416,1.97,392,1.86,2.0
180-240s,21527,20438,549,2.55,540,2.51,2.5
240-300s,21346,20183,594,2.78,569,2.67,3.0
300-360s,21570,20135,728,3.38,707,3.28,3.5
360-420s,21944,20397,790,3.6,757,3.45,4.0
420-480s,22157,20214,993,4.48,950,4.29,4.5
480-540s,21625,19798,991,4.58,836,3.87,5.0
540-600s,20725,20326,194,0.94,205,0.99,1.0
