Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,34505,34058,334,0.97,113,0.33,1.0
60-120s,35338,34381,512,1.45,445,1.26,1.5
120-180s,35780,34454,704,1.97,622,1.74,2.0
180-240s,36083,34474,881,2.44,728,2.02,2.5
240-300s,36217,34346,1026,2.83,845,2.33,3.0
300-360s,36484,34220,1225,3.36,1039,2.85,3.5
360-420s,36776,34180,1438,3.91,1158,3.15,4.0
420-480s,36953,33957,1637,4.43,1359,3.68,4.5
480-540s,36962,33783,1808,4.89,1371,3.71,5.0
540-600s,35025,34425,348,0.99,252,0.72,1.0
