Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,30368,29900,357,1.18,111,0.37,1.0
60-120s,31159,30309,472,1.51,378,1.21,1.5
120-180s,31362,30204,612,1.95,546,1.74,2.0
180-240s,31571,30103,787,2.49,681,2.16,2.5
240-300s,31853,30047,931,2.92,875,2.75,3.0
300-360s,32129,30032,1110,3.45,987,3.07,3.5
360-420s,32221,29892,1264,3.92,1065,3.31,4.0
420-480s,32374,29742,1453,4.49,1179,3.64,4.5
480-540s,32472,29807,1506,4.64,1159,3.57,5.0
540-600s,30823,30192,346,1.12,285,0.92,1.0
