Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,19664,19338,223,1.13,103,0.52,1.0
60-120s,19774,19278,258,1.3,238,1.2,1.5
120-180s,20288,19493,402,1.98,393,1.94,2.0
180-240s,20278,19314,493,2.43,471,2.32,2.5
240-300s,20451,19254,603,2.95,594,2.9,3.0
300-360s,20383,18988,716,3.51,679,3.33,3.5
360-420s,20047,18520,772,3.85,755,3.77,4.0
420-480s,21133,19447,885,4.19,801,3.79,4.5
480-540s,21046,19079,1035,4.92,932,4.43,5.0
540-600s,19890,19463,191,0.96,236,1.19,1.0
