Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,10487,10267,116,1.11,104,0.99,1.0
60-120s,10933,10623,145,1.33,165,1.51,1.5
120-180s,11228,10777,211,1.88,240,2.14,2.0
180-240s,10861,10380,259,2.38,222,2.04,2.5
240-300s,11128,10494,317,2.85,317,2.85,3.0
300-360s,10852,10076,387,3.57,389,3.58,3.5
360-420s,10915,10113,401,3.67,401,3.67,4.0
420-480s,11126,10141,491,4.41,494,4.44,4.5
480-540s,11588,10487,518,4.47,583,5.03,5.0
540-600s,10493,10245,93,0.89,155,1.48,1.0
